#separator:Semicolon
#html:false
#columns:Traditional;Reading;Definition;Simplified;tag
#notetype:Chinese (Trad and Simp)
#deck:tianguancifu
有勞;you3lao2;"FIXED EXPRESSION

1 please do me the favor of

2 have troubled (sb.)";有劳;
預;yu4;"BOUND FORM

in advance in yùbèi , yùcè , yùbào See also ¹⁰yù ¹¹yù Yù";预;
祝;zhu4;"VERB

1 bless; invoke blessings

2 express good wishes; wish 祝您長壽。 Zhù nín chángshòu. Many happy returns.

<hr style='width: 30%'>

BOUND FORM

cut off in zhùfà

<hr style='width: 30%'>

NOUN

1 hist. officer administering sacrifices

2 Surname";;hsk3
帆;fan1;"NOUN

sail

M: ²zhī / 隻";;hsk7-9
風;feng1;"NOUN

1 wind

2 ballad section in the Book of Songs

<hr style='width: 30%'>

BOUND FORM

1 common practice; custom; general mood; style in zuòfēng

2 news; information in fēngwén

3 winnow in fēngxuǎn

4 put out to dry/air in fēnggān";风;hsk1
順;shun4;"VERB

1 obey; follow; submit to 順著這條路走。 Shùnzhe zhè tiáo lù zǒu. Follow this road.

2 arrange; put in order

3 take the opportunity to

4 coll. steal; shoplift 我從辦公室順了一本字典。 Wǒ cóng bàngōngshì shùnle yī̠ běn zìdiǎn. I took home a dictionary from the office.

5 move something in a vertical way

<hr style='width: 30%'>

STATIC VERB

1 handy; convenient

2 smooth; readable; clear and well-written (of writings)

<hr style='width: 30%'>

ADVERB

at one's convenience; conveniently

<hr style='width: 30%'>

BOUND FORM

1 order in shùnxù

2 progressive in shùnyán";顺;hsk6
禁忌;jin4ji4;"NOUN

1 lg. taboo

2 med. contraindication

<hr style='width: 30%'>

VERB

avoid; abstain from";;hsk7-9
百無禁忌;bai3wu2jin4ji4;"FIXED EXPRESSION

all is permitted";百无禁忌;
散;"san4; san3";"san4
VERB

1 break up 他們兩個終於散了。 Tāmen liǎng ge zhōngyú sàn le. They two finally broke up.

2 distribute

3 let out

4 topo. fire; discharge See also ¹sǎn

<hr style='width: 30%'><hr style='width: 30%'>

san3
VERB

come loose 包裝散開了。 Bāozhuāng sǎnkāi le. The package has come loose.

<hr style='width: 30%'>

BOUND FORM

1 scattered in sǎnjū

2 Ch. med. medicine in powder form in ²sǎnjì See also sàn";;hsk5
永別;yong3bie2;"VERB

be parted by death; part forever";永别;
報仇雪恨;bao4chou2xue3hen4;"FIXED EXPRESSION

take revenge";报仇雪恨;
輕狂;qing1kuang2;"STATIC VERB

extremely frivolous";轻狂;
扶;fu2;"VERB

1 support with the hand

2 help sb. up; straighten sth. up

3 help; relieve";;hsk5
額;e2;"NOUN

forehead

<hr style='width: 30%'>

BOUND FORM

1 specified quantity in ¹míng'é

2 horizontal tablet in biǎn'é

3 art. hanging scroll mounted as panel; tablet-like mountings in héng'é";额;
躺;tang3;"VERB

lie; recline 你躺著別動。 Nị̌ tǎngzhe bié dòng. Lie down and don't move.";;hsk4
七老八十;qi1lao3ba1shi2;"FIXED EXPRESSION

, coll. very old (of people); late seventies and early eighties";;hsk3
尊卑;zun1-bei1;"NOUN

seniors and juniors; superiors and inferiors";;hsk3
失陪;shi1pei2;"FIXED EXPRESSION

, court. sorry to have to leave 對不起, 失陪了。 Duìbuqǐ, shīpéi le. Sorry, I must leave now.";;hsk3
啪;pa1;"ONOUN

Bang!";;hsk3
故;gu4;"BOUND FORM

1 reason; cause in yuángù

2 friend; acquaintance in qīngù

3 event; incident; accident in ¹shìgù

4 original; former; old in gùxiāng

5 die; pass away in bìnggù

<hr style='width: 30%'>

ADVERB

on purpose; deliberately

<hr style='width: 30%'>

CONJUNCTION

hence; so; therefore; as a result";;hsk7-9
及;ji2;"CONJUNCTION

and

<hr style='width: 30%'>

SUFFIX

in; on; to 他來信問及你的健康。 Tā láixìn wènjí nǐ de jiànkāng. He wrote asking about your health.

<hr style='width: 30%'>

BOUND FORM

reach; come up to in jígé  CMP. be in time for";;hsk7-9
陳情;chen2qing2;"VERB

OBJECT CONSTRUCTION

, wr.

1 give a full account

2 pour out one's heart";陈情;
提;"ti2; di1";"ti2
VERB

1 carry; take (in hand with the arm down)

2 lift; raise; promote

3 move up a date

4 extract

5 mention; refer to; bring up
	a 提問題 Tí wèntí ask a question
	b 提意見 Tí yìjian express a view/opinion (often contrary)

6 bring (a prisoner) to court

7 guide; promote

<hr style='width: 30%'>

NOUN

1 dipper

2 rising stroke (in calligraphy) See also ⁵dī

<hr style='width: 30%'><hr style='width: 30%'>

di1
BOUND FORM

1 ward off; defend against in dīfang

2 carry in the hand in dǎ dīliu See also ¹tí";;hsk3
並無;bing4wu2;"VERB

PHRASE

not have; there is no such thing";并无;
俊;jun4;"STATIC VERB

handsome

<hr style='width: 30%'>

BOUND FORM

talented in ¹jùnjié";;hsk7-9
俏;qiao4;"STATIC VERB

1 pretty; handsome 你打扮得真俏。 Nị̌ dǎban de zhēn qiào. You're prettily dressed.

2 in great demand (of goods)

<hr style='width: 30%'>

VERB

1 shoot up (of prices)

2 resemble

<hr style='width: 30%'>

NOUN

, topo. flavor; season";;hsk3
憋;bie1;"VERB

1 suppress; hold back

2 suffocate; stifle";;hsk7-9
苦守;ku3shou3;"VERB

1 firmly abide by (a promise)

2 firmly hold (a fortress)";;hsk3
夙;su4;"BOUND FORM

1 early in the morning

2 old; long-standing in ²sùdí";;hsk3
對不住;dui4bu5zhu4;"R.VERB

let sb. down; be unfair to  INTJ. , court. Excuse/Pardon me!";对不住;
待;"dai4; dai1";"dai4
VERB

1 treat; entertain

2 wait for

3 need

<hr style='width: 30%'>

ADVERB

pending See also ²dāi

<hr style='width: 30%'><hr style='width: 30%'>

dai1
VERB

, coll. stay See also ⁴dài";;hsk7-9
發現;fa1xian4;"VERB

 

<hr style='width: 30%'>

NOUN

1 find; discover 我沒發現什麼。 Wǒ méi fāxiàn shénme. I didn't see anything.

2 realize; perceive; notice";发现;hsk3
另;ling4;"PRONOUN

 

<hr style='width: 30%'>

ADVERB

1 other; another; separate; extra

2 in addition; besides";;hsk6
往;wang3;"VERB

go toward

<hr style='width: 30%'>

COVERB

in the direction of; toward 你往東走三里就到了。 Nǐ wǎng dōng zǒu sān lǐ jiù dào le. Go east three miles and you'll be there.

<hr style='width: 30%'>

BOUND FORM

1 past; previous in wǎngshì

2 frequently in ¹wạ̌ngwǎng";;hsk3
碰;peng4;"VERB

1 touch; knock against 別碰我肩。 Bié pèng wǒ ³jiān. Don't touch my shoulder.

2 meet; encounter; run into

3 take a chance; explore";;hsk3
屬;"shu3; zhu3";"shu3
VERB

1 be subordinate to

2 belong to

3 be born in the year of (one of the

12 animals associated with a

12-year cycle) 她是屬牛的。 ²Tā shì shǔ niú de. She was born in the year of the ox.

<hr style='width: 30%'>

NOUN

1 category

2 bio. genus

<hr style='width: 30%'>

BOUND FORM

family member; dependent in ¹jiāshǔ See also ⁷zhǔ

<hr style='width: 30%'><hr style='width: 30%'>

zhu3
BOUND FORM

1 join together in liánzhǔ

2 fix one's attention on in ²zhǔmù See also ²shǔ";属;
鬼祟;gui3sui4;"STATIC VERB

stealthy; furtive; secretive

<hr style='width: 30%'>

NOUN

misfortune brought by spirits";;hsk3
可疑;ke3yi2;"STATIC VERB

suspicious; dubious";;hsk7-9
使;shi3;"VERB

1 send (as envoy)

2 have sb. do sth.

3 use; employ; apply 你先使吧。 Nǐ xiān shǐ ba. You may use it first.

4 make; cause; enable 咖啡會使我失眠。 Kāfēi huì shị̌ wǒ shīmián. Coffee can make me unable to sleep.

<hr style='width: 30%'>

BOUND FORM

envoy in dàshǐ

<hr style='width: 30%'>

CONJUNCTION

if";;hsk3
挺;ting3;"VERB

1 stick/bulge out

2 endure 你能挺多久? Nǐ néng tǐng duō jiǔ? How long can you endure?

3 (slang) deal with; handle

<hr style='width: 30%'>

BOUND FORM

1 erect; firm in bị̌tǐng

2 distinguished; standing out in yīngtǐng

<hr style='width: 30%'>

ADVERB

very; rather; quite

<hr style='width: 30%'>

NOMINAL MEASURE WORD

(for machine guns)";;hsk4
鎖;suo3;"NOUN

 

<hr style='width: 30%'>

VERB

lock

<hr style='width: 30%'>

BOUND FORM

1 manacle; fetters in jiāsuǒ

2 lockstitch in suǒbiān";锁;hsk5
鑰匙;yao4shi5;"NOUN

key

M: bǎ / 把";钥匙;hsk7-9
惹;re3;"VERB

1 cause (sth. bad) to happen

2 provoke 她可不是好惹的。 Tā kěbushì hạ̌orě de. She's not someone to be trifled with.";;hsk7-9
方式;fang1shi4;"NOUN

1 way; fashion; pattern

2 device; means; method; mode

3 presentation; system; technique";;hsk3
玉盤;yu4pan2;"NOUN

1 jade plate

M: ge / ²zhī / 個 / 隻

2 wr. the moon";玉盘;
槽糕;cao2gao1;"NOUN

, topo. shaped cake";;hsk3
糟糕;zao1gao1;"INTJ. , coll. What a mess!; Too bad! 糟糕, 我的表丟了。 Zāogāo, wǒ de biǎo diū le. What bad luck! I lost my watch.

<hr style='width: 30%'>

STATIC VERB

bad; messed up";;hsk5
失蹤;shi1zong1;"VERB

OBJECT CONSTRUCTION

be missing";失踪;hsk7-9
繫;"ji4; xi4";"ji4
VERB

tie; fasten; do/button up See also ³xì ⁵xì ⁶xì

<hr style='width: 30%'><hr style='width: 30%'>

xi4
VERB

tie; fasten

<hr style='width: 30%'>

BOUND FORM

1 feel anxious; be concerned in xìniàn

2 take into custody in xìlěi See also ⁷jì ³xì ⁵xì";系;hsk4
係;xi4;"VERB

, wr. be

<hr style='width: 30%'>

BOUND FORM

relate to; bear on in guānxi See also ⁷jì ³xì ⁶xì";系;hsk4
擔;"dan1; dan4";"dan1
VERB

1 carry on shoulder pole

2 take on; undertake See also ⁵dàn

<hr style='width: 30%'><hr style='width: 30%'>

dan4
NOMINAL MEASURE WORD

(of weight equal to

50 kg)

<hr style='width: 30%'>

BOUND FORM

carrying pole in biǎndan See also ³dān";担;hsk7-9
厄;e4;"wr

<hr style='width: 30%'>

BOUND FORM

1 strategic place in ²xiǎn'è

2 difficulty; hardship in kùn'è

<hr style='width: 30%'>

VERB

, wr. be trapped in a difficult/dangerous situation";;hsk3
稀;xi1;"STATIC VERB

1 sparse; scattered

2 watery; thin

<hr style='width: 30%'>

BOUND FORM

rare; scarce; uncommon in xīshǎo , xīhan See also ⁴xī";;hsk7-9
罕;han3;"BOUND FORM

rarely; seldom in hǎnjiàn , xīhan";;hsk3
底;di3;"NOUN

1 underside; bottom; base 水深得看不到底。 Shuǐ ²shēn de kàn bụ̀ dào dǐ. The water is so deep that one can't see the bottom.

2 ins and outs

3 rough draft

4 copy kept as a record 留個底。 Liú ge dǐ. Keep a copy.

5 end

6 ground

<hr style='width: 30%'>

VERB

, wr. end up with

<hr style='width: 30%'>

ATTRIBUTIVE

basic";;hsk4
徹;che4;"BOUND FORM

thorough; penetrating in chèdǐ";彻;
視;shi4;"verb

1 look at
	注視 zhùshì look attentively at; gaze at

2 literary regard; look upon
	視如仇敵 shì rú chóudí look upon as one’s enemy
	視為莫大光榮 shìwéi mòdà guāngróng regard as a great honour

3 inspect; watch
	巡視 xúnshì make an inspection tour";视;
掌上明珠;zhang3shang4-ming2zhu1;idiom pearl in the palm—beloved daughter 女兒是他的掌上明珠。 Nǚ'ér shì tā de zhǎngshàngmíngzhū. His daughter was the apple of his eye.;;hsk3
寵愛;chong3ai4;"VERB

dote on";宠爱;hsk7-9
加;jia1;"VERB

1 increase; augment

2 put in; add; append

3 confer

4 plus";;hsk3
常;chang2;"BOUND FORM

1 ordinary; common; normal in píngcháng

2 constant; invariable in ²chángnián

<hr style='width: 30%'>

ADVERB

often; usually; frequently 我常打網球。 Wǒ cháng dạ̌ wǎngqiú. I often play tennis.

<hr style='width: 30%'>

NOUN

Surname";;hsk3
驕傲;jiao1ao4;"STATIC VERB

arrogant; conceited

<hr style='width: 30%'>

VERB

be proud; take pride in

<hr style='width: 30%'>

NOUN

pride";骄傲;hsk6
必;bi4;"ADVERB

1 certainly; surely

2 must; have to 現在你不必來了。 Xiànzài nǐ bụ̀bì lái le. There's no longer any need for you to come.";;hsk5
萬世流芳;wan4shi4-liu2fang1;"be remembered forever; be renowned throughout the ages";万世流芳;
俗;su2;"BOUND FORM

1 vulgar in súqi

2 popular; common; current in tōngsú

3 custom; convention in fēngsú

4 secular; lay in sēng-sú";;hsk7-9
王權;wang2quan2;"NOUN

1 absolute/ruling power

2 reign";王权;
富貴;fu4gui4;"NOUN

wealth and honor/rank";富贵;
興趣;xing4qu4;"NOUN

interest 大家各有各的興趣。 Dàjiā gè yǒu gè de xìngqù. Tastes differ.";兴趣;hsk4
講;jiang3;"VERB

1 speak; say; tell

2 explain; make clear; interpret

3 discuss; negotiate

4 stress; pay attention to; be particular about

<hr style='width: 30%'>

BOUND FORM

discourse; lecture in yạ̌njiǎng

<hr style='width: 30%'>

COVERB

as far as sth. is concerned; as to/regards 講跳舞, 她比誰都行。 Jiǎng tiàowǔ, tā bǐ shuí dōu xíng. As for dancing, she's the best.";讲;hsk3
拯救;zheng3jiu4;"VERB

save; rescue

<hr style='width: 30%'>

NOUN

deliverance";;hsk7-9
稱呼;cheng1hu5;"VERB

call; address 我怎麼稱呼您? Wọ̌ zěnme chēnghu nín? How shall I address you?

<hr style='width: 30%'>

NOUN

form of address

<hr style='width: 30%'>

ATTRIBUTIVE

, lg. vocative; address";称呼;hsk7-9
詛咒;zu3zhou4;"VERB

curse; imprecate";诅咒;
屠城;tu2cheng2;"VERB

OBJECT CONSTRUCTION

massacre the inhabitants of a captured city";;hsk3
囚;qiu2;"VERB

imprison

<hr style='width: 30%'>

BOUND FORM

prisoner; convict in qiúfàn , ¹sǐqiú";;hsk3
皇城;Huang2cheng2;"PLACE WORD

Imperial City (inner part of Beijing)

M: ge / ⁴zuò / 個 / 座";;hsk3
轉;"zhuan3; zhuai3";"zhuan3
VERB

1 turn; shift; change 把臉轉過來。 Bạ̌ liǎn zhuǎn guòlai. Turn your face towards me.

2 convey; pass on; transfer; transmit 請把這封信轉給你姐姐。 Qị̌ng bǎ zhè ²fēng xìn zhuǎngẹ̌i nị̌ jiějie. Please pass this letter on to your sister.

<hr style='width: 30%'>

NOUN

, lg. alternation of rhyme See also zhuǎi ¹zhuàn

<hr style='width: 30%'><hr style='width: 30%'>

zhuai3
VERB

lard one's speech with literary phrases to display erudition See also zhuǎn ¹zhuàn";转;hsk6
瞬;shun4;"BOUND FORM

blink; a moment/instant in shùnjiān , ¹yīshùn";;hsk3
轉瞬;zhuan3shun4;"VERB

OBJECT CONSTRUCTION

1 twinkle; flash

2 turn the eyes";转瞬;
驚鴻一瞥;jing1hong2yi1pie1;ID. fleeting glimpse of a beauty;惊鸿一瞥;
逢;feng2;"VERB

meet; come upon 每逢我去他家, … Měi féng wǒ qù tā jiā, ... Every time I visit his home, ...  逢一, 三, 五, 我們開會。 Féng yī, sān, wǔ, wǒmen kāihuì. We hold meetings on Monday, Wednesday, and Friday

<hr style='width: 30%'>

NOUN

Surname";;hsk7-9
遇;yu4;"BOUND FORM

1 meet; encounter in ¹yùdào

2 treat; receive in dàiyù

3 treatment; remuneration in dàiyù

4 situation

5 chance; opportunity in ¹jīyù";;hsk4
未;wei4;"ADVERB

1 have not yet

2 wr. or not (at end of sentence)

<hr style='width: 30%'>

NOUN

8th of the

12 Earthly Branches";;hsk7-9
侍;shi4;"BOUND FORM

wait upon; serve in ¹shìhòu , fúshi";;hsk3
奉;feng4;"wr.  

<hr style='width: 30%'>

VERB

1 give; present

2 receive

3 esteem; revere; respect

4 believe in

5 wait upon; attend to

6 court. have the honor to";;hsk3
精;jing1;"STATIC VERB

1 refined

2 perfect; excellent

3 meticulous; precise

4 sharp; clever; shrewd

5 skilled; conversant; proficient

6 unclad

<hr style='width: 30%'>

NOUN

1 essence

2 Ch. med. essence of life

<hr style='width: 30%'>

BOUND FORM

1 energy; spirit in jīngshén

2 semen; seed in jīngzǐ

3 spirit; demon in yāojing

<hr style='width: 30%'>

ADVERB

extremely; very";;hsk6
閉嘴;bi4zui3;"VERB

OBJECT CONSTRUCTION

(slang) shut up";闭嘴;
民間;min2jian1;"ATTRIBUTIVE

1 among the people; popular; folk 這是民間流傳的故事。 Zhè shì mínjiān liúchuán de gùshi. This is a popularly known story.

2 nongovernmental; people-to-people

3 lg. common; vulgar";民间;
晚輩;wan3bei4;"NOUN

younger generation; one's juniors 他是我爺爺的晚輩。 Tā shì wǒ yéye de wǎnbèi. He's a generation younger than my granddad.

M: ²wèi / míng / ge / 位 / 名 / 個";晚辈;
侮辱;wu3ru3;"NOUN

 

<hr style='width: 30%'>

VERB

insult; humiliate 你這樣做是對我的侮辱。 Nǐ zhèyàng zuò shì duì wǒ de wụ̌rǔ. The way you did it was an insult to me.";;hsk7-9
賤;jian4;"STATIC VERB

low-priced; inexpensive; cheap low-down; base; despicable

<hr style='width: 30%'>

BOUND FORM

1 lowly; humble in pínjiàn

2 humb. my in jiànxìng";贱;hsk7-9
一言難盡;yi1yan2nan2jin4;"FIXED EXPRESSION

it's a long story";一言难尽;
場;"chang2; chang3";"chang2
NOMINAL MEASURE WORD

 

<hr style='width: 30%'>

VERB

. (for happenings)

<hr style='width: 30%'>

BOUND FORM

open area (for threshing grain, sunning crops, etc.) in ¹chángyuàn , gǔcháng See also ²chǎng

<hr style='width: 30%'><hr style='width: 30%'>

chang3
NOUN

1 gathering place; field 昨天開會他沒到場。 Zuótiān kāihuì tā méi dào chǎng. He didn't show up at the meeting yesterday.

2 level open space; threshing ground; yard; stage

3 topo. country fair; market

<hr style='width: 30%'>

NOMINAL MEASURE WORD

(for games/performances/etc.) 下一場七點開始。 Xià yī̠ chǎng qī diǎn kāishǐ. The next performance starts at

7:00. See also ³cháng";场;hsk3
招財進寶;zhao1cai2jin4bao3;"FIXED EXPRESSION

1 let riches and treasures come in (a store good-luck placard)

2 bring in wealth and treasure (a felicitous wish for making money)";招财进宝;
新禧;xin1xi3;"FIXED EXPRESSION

Happy New Year!";;hsk3
恭賀;gong1he4;"VERB

congratulate";恭贺;
肉麻;rou4ma2;"STATIC VERB

1 uncomfortable (feeling/seeing/hearing sth.)

2 mawkish; overly sentimental

3 disgusting; giving one the creeps

4 torpid; benumbed";;hsk3
除夕;Chu2xi1;"NOUN

Lunar New Year's Eve";;hsk5
健康;jian4kang1;"STATIC VERB

healthy; sound

<hr style='width: 30%'>

NOUN

health; physique 祝你身體健康。 Zhù nǐ shēntǐ jiànkāng. Wish you good health.";;hsk3
設;she4;"VERB

1 set up; found; establish 你設鬧鐘了嗎? Nǐ shè nàozhōng le ma? Did you set the alarm?

2 math. given; suppose; if

<hr style='width: 30%'>

BOUND FORM

work out in shèfǎ

<hr style='width: 30%'>

CONJUNCTION

, wr. if; in case";设;hsk7-9
勞駕;lao2jia4;"VERB

OBJECT CONSTRUCTION

 

<hr style='width: 30%'>

VERB

 | INTJ. , court. excuse me; may I trouble you (to do sth.) 勞駕把那本字典遞給我。 Láojià bǎ nà běn zìdiǎn dì gẹ̌i wǒ. Would you mind passing me that dictionary?  A.T. your kind visit";劳驾;
茶點;cha2dian3;"NOUN

tea and cookies; refreshments";茶点;
碟;die2;"BOUND FORM

small plate/dish in diézi

<hr style='width: 30%'>

NOMINAL MEASURE WORD

a dish/plateful";;hsk3
嘞;"le1; lei5";"le1
char. in xiālēle See also lei

<hr style='width: 30%'><hr style='width: 30%'>

lei5
NOMINAL MEASURE WORD

. (calling attention to a situation) See also ²lē";;hsk3
客;ke4;"NOUN

visitor; guest

<hr style='width: 30%'>

BOUND FORM

1 traveler; passenger in lǚkè

2 traveling merchant in kèshāng

3 customer in gùkè

4 person engaged in a particular pursuit in ¹jiànkè

5 settle/live in a strange place; be a stranger in kèjū

6 objective in ¹kèguān";;hsk3
邊;bian1;"NOUN

 

<hr style='width: 30%'>

SUFFIX

1 side

2 margin; edge; rim

3 limit 他的話太沒邊了。 Tā de huà tài méi biān le. What he said is inflated.

4 Surname

<hr style='width: 30%'>

BOUND FORM

border; boundary in biānjiè

<hr style='width: 30%'>

CONSTRUCTION

∼ V1 ∼ V2 V1 and V2 simultaneously 他邊幹邊學。 Tā biān gàn biān xué. He's learning on the job.";边;hsk3
慢;man4;"STATIC VERB

slow

<hr style='width: 30%'>

BOUND FORM

supercilious; rude in àomàn

<hr style='width: 30%'>

VERB

postpone; defer 慢一點兒告訴她。 Màn yī̠diǎnr gàosu tā. Don't let her know yet.

<hr style='width: 30%'>

NOUN

, wr. variant pattern of ¹cí and ³qǔ";;hsk3
勉強;mian3qiang3;"VERB

1 force sb. to do sth. 別勉強他。 Bié miạ̌nqiǎng tā. Don't force him to do it.

2 do with difficulty

<hr style='width: 30%'>

STATIC VERB

unconvincing; strained 這個計劃很勉強。 Zhège jìhuà hěn miạ̌nqiǎng. This plan may not work.

<hr style='width: 30%'>

ADVERB

1 reluctantly; grudgingly 他勉強笑了一下。 Tā miạ̌nqiǎng xiàole yị̄xià. He forced a smile.

2 barely enough 她勉強能說幾句法語。 ²Tā miạ̌nqiǎng néng shuō jǐ jù Fạ̌yǔ. She can speak only a little French.";勉强;hsk7-9
先;xian1;"ADVERB

1 before; earlier; in advance

2 for the time being; for the moment (with negative) 你先別走。 Nǐ xiān bié zǒu. Don't leave yet.

<hr style='width: 30%'>

CONSTRUCTION

∼ A ²zài B first A and then B

<hr style='width: 30%'>

BOUND FORM

1 elder generation in ¹xiānbèi

2 ancestor in zǔxiān

3 late; deceased in xiānfù

4 progressive in xiānjìn

<hr style='width: 30%'>

PREFIX

pre-";;hsk3
乾;gan1;"STATIC VERB

1 dry 衣服乾了。 Yīfu gān le. The clothes have dried.

2 hollow

<hr style='width: 30%'>

ADVERB

1 for nothing; in vain

2 helplessly 乾著急, 沒辦法。 Gān zháojí, méi bànfǎ. Worry helplessly without any solutions

3 only; simply See also ²gān ¹gàn ⁶qián";干;hsk1
燥;zao4;"STATIC VERB

dry 天氣真燥。 Tiānqì zhēn zào. The weather is so dry.";;hsk3
火燭;huo3zhu2;"NOUN

flammable material";火烛;
帶;dai4;"NOUN

1 belt; band; girdle

2 tire

3 zone

<hr style='width: 30%'>

VERB

1 take; bring; bear a 請帶個話兒給他。 Qǐng dài ge huàr gěi tā. Take him a message. b 出門時帶點兒水果回來。 Chūmén ²shí dài diǎnr shuị̌guǒ huílai. When you go out, bring me back some fruit.

2 lead

3 look after; raise 誰給你帶孩子? Shuí gẹ̌i nǐ dài háizi? Who looks after your children?";带;hsk3
陸續;lu4xu4;"ADVERB

one after another; in succession 他們陸續入場。 Tāmen lùxù rùchǎng. They marched into the arena one after the other.";陆续;hsk4
娘;niang2;"NOUN

ma; mum; mother

<hr style='width: 30%'>

BOUND FORM

1 elderly married woman in dàniáng

2 young woman in gūniang";;hsk7-9
出閣;chu1ge2;"VERB

OBJECT CONSTRUCTION

1 lit. marry (of females)

2 trad. leave (the capital) to take an office in a province";出阁;
窮;qiong2;"STATIC VERB

1 poor; impoverished 小時候, 我家很窮。 Xiǎoshíhou, wǒ jiā hěn qióng. When I was a child, my family was poor.

2 exhausted; hard-pressed

<hr style='width: 30%'>

ADVERB

1 exhaustively

2 extremely

<hr style='width: 30%'>

VERB

exhaust; pursue to the limit

<hr style='width: 30%'>

BOUND FORM

limit; end; extremity in wúqióng";穷;hsk4
醜;chou3;"STATIC VERB

ugly; unsightly; hideous

<hr style='width: 30%'>

BOUND FORM

disgraceful; shameful; scandalous in chǒushì See also ³chǒu";丑;hsk5
規律;gui1lü4;"NOUN

law; regular pattern; rule 生和死是自然規律。 Shēng hé sǐ shì zìrán guīlǜ. Birth and death are the law of nature.

M: zhǒng / 種";规律;hsk4
尋人;xun2ren2;"VERB

OBJECT CONSTRUCTION

look for sb. missing";寻人;
設下;she4xia4;"R.VERB

1 arrange; prepare

2 set up (a trap/etc.)";设下;
懸賞;xuan2shang3;"VERB

OBJECT CONSTRUCTION

offer/post a reward";悬赏;
法事;fa3shi4;"NOUN

Buddhist/Daoist mass";;hsk3
驚動;jing1dong4;"VERB

1 alarm; disturb 他們夫婦的爭吵驚動了左鄰右舍。 Tāmen fūfù de zhēngchǎo jīngdòngle zuǒlínyòushè. The argument between the couple disturbed the neighborhood.

2 alert";惊动;
嚼;jue2;"BOUND FORM

chew; think over in juélà , jǔjué See also ¹jiáo ¹²jiào";;hsk7-9
斷言;duan4yan2;"VERB

assert categorically; affirm

<hr style='width: 30%'>

NOUN

, lg. affirmation; assertion";断言;
斷;duan4;"VERB

1 break

2 cut off

3 give up

4 decide

<hr style='width: 30%'>

ADVERB

, wr. absolutely; decidedly";断;
過於;guo4yu2;"VERB

PHRASE

too; excessively 他過於自信。 Tā guòyú zìxìn. He's overconfident.

<hr style='width: 30%'>

VERB

exceed";过于;hsk5
隱;yin3;"BOUND FORM

1 conceal; hide in yǐncáng

2 live as a recluse in yǐnjū

3 latent; dormant in yǐnhuàn

4 hidden; secret in ²yǐnqíng

5 painful";隐;
吱;zhi1;"ONOUN

creak 門 “吱” 的一聲開了。 Mén “zhī” de yī̠ shēng kāi le. The door creaked open. See also ³zī";;hsk3
門吱地一聲開了。;Men2 zhi1 de5 yi1 sheng1 kai1 le5.;The door creaked open.;门吱地一声开了。;
螢;ying2;"BOUND FORM

firefly in yíngguāng , liúyíng";萤;
祈;qi2;"BOUND FORM

pray; seek; hope for in qídǎo , fúqí

<hr style='width: 30%'>

NOUN

Surname";;hsk3
保佑;bao3you4;"VERB

bless and protect

<hr style='width: 30%'>

NOUN

blessing";;hsk7-9
辜;gu1;"BOUND FORM

1 guilty; blameworthy in bùgū

2 default on an obligation in gūfù";;hsk3
連累;lian2lei3;"VERB

implicate; involve; get sb. into trouble 這和我沒關係, 不要連累我。 Zhè hé wǒ méi guānxi, bụ̀yào liánlěi wǒ. It's none of my business. Don't get me into trouble.";连累;
連;lian2;"VERB

join; link; connect

<hr style='width: 30%'>

NOUN

, mil.

1 company

2 Surname

<hr style='width: 30%'>

BOUND FORM

endless succession in ¹liánxù

<hr style='width: 30%'>

ADVERB

in succession; one after another

<hr style='width: 30%'>

CONSTRUCTION

1 ∼ N dōu/yě V even V N

2 她連米飯都不會做。 ²Tā lián mǐfàn dōu bụ̀ huì zuò. She can't even cook rice. ∼ A dài B both A and B

<hr style='width: 30%'>

CONJUNCTION

including";连;
累;"lei3; lei4";"lei3
BOUND FORM

1 pile up; accumulate in jīlěi

2 involve in lěijí See also ³léi ¹lěi ²lèi

<hr style='width: 30%'><hr style='width: 30%'>

lei4
STATIC VERB

1 tired; weary 如果你累了, 就休息一下。 Rúguǒ nǐ lèi le, jiù xiūxi yị̄xià. Take a break if you feel tired.

2 coll. overcautious; too restrained

<hr style='width: 30%'>

VERB

1 tire; strain; wear out

2 work hard; toil 你累了一天了, 歇會兒吧。 Nǐ lèile yī̠ tiān le, xiē huǐr ba. You've been working hard all day; rest a while. See also ³léi ¹lěi ³lěi";;hsk3
咂;za1;"VERB

1 sip; suck

2 taste/savor carefully";;hsk3
呃;e4;"VERB

hiccup";;hsk3
飄;piao1;"VERB

blow/drift about; flutter";飘;hsk7-9
緊張;jin3zhang1;"STATIC VERB

1 nervous; keyed up 考試前, 學生們都很緊張。 Kǎoshì qián, xuéshengmen dōu hẹ̌n jǐnzhāng. Before the exam, students are anxious.

2 tense; intense; strained

3 PRC scarce; in short supply";紧张;
裙;qun2;"BOUND FORM

1 skirt in qúnzi

2 petticoat in chènqún

3 apron in wéiqún";;hsk3
分明;fen1ming2;"STATIC VERB

clearly demarcated; distinct

<hr style='width: 30%'>

ADVERB

clearly; plainly; evidently 老師分明說下星期才考試。 Lǎoshī fēnmíng shuō xià xīngqī cái kǎoshì. The teacher clearly said that there wouldn't be a test until next week.";;hsk7-9
